permit_number,plot_number,latitude,longitude,approved_area_sq_m,permit_date,owner,status
BP-401-9831,S22-H-5,30.7314603,76.7766512,98.67,2025-10-05,Rajesh,approved
BP-401-4394,S22-H-10,30.7321738,76.7766505,790.75,2025-09-27,Narinder,approved
BP-401-1901,Sec-22-H-15,30.7329545,76.7766514,181.06,2025-07-26,Ranjeet,approved
BP-401-6713,22-J-16,30.7330763,76.776648,301.85,2024-10-18,Harsimran,approved
BP-401-4000,Sec-22-N-27,30.7352882,76.7766502,194.58,2025-10-15,Mohan,approved
BP-401-4993,S22-F-29,30.7354458,76.7766515,139.08,2024-05-28,Ranjeet,approved
BP-401-8299,S22-S-31,30.7356887,76.7766502,187.88,2024-10-11,Sandeep,approved
BP-401-5160,22-F-33,30.7308589,76.7768303,11.03,2025-07-17,Davinder,approved
BP-401-3841,22-J-34,30.7310388,76.7768311,26.28,2026-01-22,Lakhveer,approved
BP-401-9957,22-A-35,30.7312407,76.7768288,15.25,2026-04-04,Ashok,approved
BP-401-3634,S22-V-40,30.7318519,76.776824,8.48,2025-03-08,Jagtar,approved
BP-401-6545,Sec-22-D-42,30.7321794,76.776827,20.99,2024-08-12,Ashok,approved
BP-401-1168,S22-W-43,30.7324353,76.7768271,9.49,2025-04-07,Aman,approved
BP-401-1409,S22-C-48,30.7330735,76.7768299,13.68,2026-03-10,Amrik,approved
BP-401-9038,S22-N-50,30.7336818,76.776831,22.81,2026-03-28,Balveer,approved
BP-401-9019,S22-P-53,30.7340481,76.7768278,24.4,2026-03-03,Raj,approved
BP-401-7102,S22-C-55,30.734435,76.7768271,23.0,2024-12-10,Jagtar,rejected_but_built
BP-401-1659,Sec-22-B-57,30.7349093,76.7768276,32.08,2025-10-02,Mandeep,approved
BP-401-3720,Sec-22-A-62,30.7355562,76.7768247,5.95,2024-08-14,Raj,approved
BP-401-4147,Sec-22-V-63,30.7356951,76.7768262,7.57,2026-06-02,Satinder,approved
BP-401-6407,Sec-22-J-66,30.7310441,76.7769889,387.73,2025-09-13,Suresh,approved
