property_id,survey_number,area_sq_m,owner_name,tax_due,last_paid,assessment_year
TAX-401-6146,Sec-22/R-1,463.97,Jagdeesh,0.0,2026-08-17,2026
TAX-401-9537,Sec-22/S-2,906.85,Sukhvinder,104632.78,2025-09-11,2026
TAX-401-9297,22/B-3,547.7,Amreek,71658.64,2026-04-05,2026
TAX-401-2831,Sec-22/G-4,377.68,Gurprith,18747.43,2025-10-28,2026
TAX-401-7391,S22/H-5,239.92,Raajesh,18292.71,2026-09-05,2026
TAX-401-3960,,155.26,Parmjit,0.0,2026-04-02,2026
TAX-401-9011,,732.88,Ashoke,44919.51,2026-02-25,2026
TAX-401-7755,S22/T-8,779.03,Satindar,59904.61,2026-08-06,2026
TAX-401-8365,22/N-9,130.69,Jasvinder,16997.33,2026-02-23,2026
TAX-401-8356,S22/H-10,1319.98,Narindar,416882.42,2026-02-19,2026
TAX-401-4030,S22/J-11,586.45,Ashoke,36991.19,2026-03-21,2026
TAX-401-5044,22/U-12,1143.89,Manprith,219026.61,2026-04-25,2026
TAX-401-9425,S22/G-13,130.11,Daljit,18978.19,2026-02-24,2026
TAX-401-6913,S22/N-14,128.07,Gurmit,0.0,2025-10-13,2026
TAX-401-3978,Sec-22/H-15,341.09,Ranjit,41854.28,2026-09-09,2026
TAX-401-5595,22/J-16,537.76,Harsimren,78268.22,2026-07-30,2026
TAX-401-8212,Sec-22/K-17,1586.11,Ashoke,170620.19,2026-07-19,2026
TAX-401-5270,Sec-22/V-18,660.17,Jaslin,294022.13,2026-01-25,2026
TAX-401-3824,S22/U-19,313.27,Dawinder,0.0,2026-01-13,2026
TAX-401-4542,S22/E-20,154.01,Daljit,13866.73,2026-03-03,2026
TAX-401-1452,22/G-21,717.25,Jagtaar,0.0,2026-05-09,2026
TAX-401-7063,S22/U-22,166.04,Harjit,12690.48,2025-09-01,2026
TAX-401-4456,Sec-22/R-23,1374.08,Narindar,0.0,2026-03-11,2026
TAX-401-9932,Sec-22/A-24,380.46,Sukhvinder,308579.73,2025-10-14,2026
TAX-401-7553,S22/E-25,1333.19,Jasvinder,0.0,2026-07-05,2026
TAX-401-8126,Sec-22/P-26,639.13,Mandip,65690.16,2026-02-08,2026
TAX-401-4273,Sec-22/N-27,335.79,Mohun,291737.86,2025-08-29,2026
TAX-401-3047,22/G-28,255.43,Balvindar,26352.51,2026-08-26,2026
TAX-401-3218,S22/F-29,292.54,Ranjit,29786.88,2026-03-23,2026
TAX-401-6756,S22/Q-30,531.63,Mohun,50955.68,2026-07-26,2026
TAX-401-8193,S22/S-31,399.17,Sandip,53023.98,2026-09-09,2026
TAX-401-5397,22/P-32,233.91,Aneeta,39870.54,2026-08-16,2026
TAX-401-7002,,26.76,Dawinder,2444.6,2026-05-27,2026
TAX-401-4795,22/J-34,58.89,Lakhweer,4631.23,2026-08-19,2026
TAX-401-5207,22/A-35,35.86,Ashoke,4341.01,2026-09-15,2026
TAX-401-5484,Sec-22/D-36,17.04,Surjit,1453.02,2026-06-26,2026
TAX-401-2885,22/D-37,12.6,Ashoke,10770.37,2026-01-27,2026
TAX-401-1031,Sec-22/F-39,41.12,Raajesh,3251.9,2026-01-04,2026
TAX-401-4440,,16.37,Jagtaar,2333.75,2026-02-23,2026
TAX-401-9025,Sec-22/D-42,50.33,Ashoke,7025.98,2025-09-18,2026
TAX-401-2811,S22/W-43,23.36,Amaan,18127.23,2026-04-15,2026
TAX-401-1894,Sec-22/A-44,52.91,Lakhweer,4616.21,2025-12-03,2026
TAX-401-2815,22/W-47,18.9,Jagdeesh,624.09,2026-01-13,2026
TAX-401-8396,S22/C-48,30.33,Amreek,17716.76,2026-03-10,2026
TAX-401-3080,S22/W-49,89.88,Karun,4817.69,2025-12-11,2026
TAX-401-7539,S22/N-50,40.84,Balweer,5519.61,2026-04-08,2026
TAX-401-4666,22/U-51,19.29,Mohun,1549.81,2026-05-22,2026
TAX-401-5729,S22/P-53,44.32,Raaj,34256.36,2026-04-23,2026
TAX-401-6553,S22/C-55,55.56,Jagtaar,5740.05,2026-01-26,2026
TAX-401-6842,22/C-56,11.51,Lakhweer,348.46,2026-02-06,2026
TAX-401-1729,Sec-22/B-57,55.5,Mandip,7371.09,2026-09-03,2026
TAX-401-5580,22/N-58,29.14,Daljit,922.29,2026-01-06,2026
TAX-401-1478,Sec-22/A-62,13.51,Raaj,2984.1,2025-12-02,2026
TAX-401-4242,Sec-22/V-63,14.04,Satindar,813.57,2026-06-01,2026
TAX-401-5602,,13.47,Amaan,1362.3,2026-05-17,2026
TAX-401-9310,Sec-22/M-65,408.46,Jagdeesh,297213.93,2026-04-06,2026
TAX-401-5459,Sec-22/J-66,780.31,Sureesh,21958.36,2026-02-15,2026
TAX-401-9552,22/R-67,487.53,Jasvinder,49839.46,2026-09-11,2026
TAX-401-2653,,440.92,Sukhprith,180147.81,2025-11-16,2026
TAX-401-6850,22/A-69,209.16,Surindar,30400.19,2025-10-06,2026
TAX-401-5192,22/B-70,142.33,Rawinder,15784.5,2026-04-09,2026
TAX-401-1912,S22/D-71,657.34,Kamaljit,86563.88,2026-08-24,2026
TAX-401-6992,S22/B-72,708.49,Jasvinder,45059.7,2025-11-09,2026
TAX-401-6720,S22/J-73,70.61,Kuldip,8581.64,2026-02-11,2026
TAX-401-4050,S22/N-74,1537.04,Taranjit,37337.95,2026-02-17,2026
TAX-401-9690,S22/D-75,502.55,Narindar,261728.56,2025-12-11,2026
TAX-401-3295,22/P-76,1041.58,Jasvinder,128764.03,2025-09-14,2026
TAX-401-7181,S22/C-77,115.04,Amreek,9616.88,2025-11-14,2026
TAX-401-8012,Sec-22/L-78,84.24,Taranjit,7487.05,2026-09-17,2026
TAX-401-9219,S22/W-79,312.41,Mandip,32017.73,2026-05-30,2026
TAX-401-6964,22/V-80,474.92,Jasvinder,59016.61,2026-04-27,2026
TAX-401-1589,S22/U-81,1411.8,Satindar,0.0,2026-09-05,2026
TAX-401-9616,22/S-82,570.48,Karun,500243.9,2026-01-03,2026
TAX-401-1102,22/P-83,277.27,Vickram,32987.22,2026-03-21,2026
TAX-401-6962,,160.35,Gurprith,8981.91,2025-09-20,2026
TAX-401-1013,22/H-85,879.33,Dawinder,286426.57,2026-04-20,2026
