doc_number,survey_number,registration_date,area_sqft,seller,buyer,sale_value
SRO/CH/77043,Sec-22/R-1,21/05/2024,4994.13,Anjali Dube,Jagdish,109531108.93
SRO/CH/15895,Sec-22/S-2,12/07/2022,9761.24,Ishita Gokhale,Sukhvinder,67355439.94
SRO/CH/33591,22/B-3,31/08/2025,5895.39,Bakhshi Walia,Amreek,127562496.47
SRO/CH/66359,Sec-22/G-4,24/12/2024,4065.31,Riya Batta,Gurpreet,180078439.63
SRO/CH/48079,S22/H-5,05/10/2025,2582.47,Madhavi Morar,Rajesh,31592845.36
SRO/CH/57568,22/V-6,14/01/2025,1671.2,Charles Agrawal,Paramjeet,52581107.38
SRO/CH/94122,22/U-7,12/05/2026,7888.65,Krishna Jaggi,Ashoke,58628349.94
SRO/CH/34824,S22/T-8,10/06/2023,8385.4,Kavya Khare,Satinder,160390222.3
SRO/CH/51819,22/N-9,21/09/2025,1406.73,Gavin Babu,Jaswinder,79227136.3
SRO/CH/84544,S22/H-10,14/08/2024,14208.13,Ayaan Atwal,Narinder,755811579.38
SRO/CH/78816,S22/J-11,09/02/2026,6312.49,Rehaan Bhatnagar,Ashok,38605104.73
SRO/CH/58164,22/U-12,05/08/2025,12312.72,Gopal Ganesh,Manpreet,187149503.61
SRO/CH/86170,S22/G-13,10/07/2025,1400.49,Chaitanya Sagar,Daljit,29880175.97
SRO/CH/51605,S22/N-14,09/05/2024,1378.53,Eta Naidu,Gurmit,41957227.64
SRO/CH/51766,Sec-22/H-15,06/08/2023,3671.46,Sarthak Rana,Ranjeet,76185944.73
SRO/CH/46568,22/J-16,14/05/2025,5788.39,Jai Kata,Harsimran,80137213.45
SRO/CH/73741,Sec-22/K-17,02/02/2026,17072.73,Hitesh Parikh,Ashok,533970874.44
SRO/CH/58080,Sec-22/V-18,04/12/2023,7106.0,Oscar Aurora,Jasleen,487165706.33
SRO/CH/11100,S22/U-19,17/09/2022,3372.01,Diya Arora,Davinder,83590868.11
SRO/CH/60703,S22/E-20,18/06/2026,1657.75,Simon Shanker,Daljeet,31058934.29
SRO/CH/42785,22/G-21,13/01/2026,10922.78,Dominic Mallick,Jagtar,110204993.32
SRO/CH/87326,S22/U-22,03/01/2024,1787.24,Caleb Bhavsar,Harjeet,27075836.79
SRO/CH/85027,Sec-22/R-23,23/11/2024,14790.46,Nirja Mitra,Narindar,657136069.43
SRO/CH/10028,Sec-22/A-24,02/12/2024,3326.48,Harsh Yadav,Sukhwinder,741129535.32
SRO/CH/61957,S22/E-25,18/01/2026,14350.32,Zayan Chandran,Jaswinder,640714546.79
SRO/CH/86111,Sec-22/P-26,13/11/2021,6879.53,Lipika Deol,Mandeep,80848048.15
SRO/CH/12684,Sec-22/N-27,06/02/2026,3614.41,Parth Nadkarni,Mohun,101624478.89
SRO/CH/41207,22/G-28,22/10/2024,2749.42,Ekansh Nayak,Balwinder,130359201.05
SRO/CH/67837,S22/F-29,04/11/2024,3148.87,Saumya Raja,Ranjeet,21944242.47
SRO/CH/84685,S22/Q-30,06/05/2026,5722.41,Yahvi Arya,Mohun,67128040.99
SRO/CH/41810,S22/S-31,18/02/2025,4296.63,Ansh Dash,Sandeep,79518719.46
SRO/CH/32283,22/P-32,10/10/2024,2517.78,Warjas Sangha,Anita,29891285.85
SRO/CH/99999,22/F-33,26/11/2021,288.04,Fariq Bhasin,Davinder,5815445.14
SRO/CH/37786,22/J-34,15/07/2026,633.89,Kavya Tara,Lakhveer,13646357.96
SRO/CH/12198,22/A-35,04/06/2025,291.49,Saksham Doshi,Ashok,30467784.91
SRO/CH/26669,Sec-22/D-36,02/03/2022,183.42,Samarth Barad,Surjeet,2720121.0
SRO/CH/69155,22/D-37,26/02/2022,135.63,Sachi Narasimhan,Ashoke,14505989.0
SRO/CH/82617,22/D-37,06/04/2022,135.63,Ashoke,Arunima Nadkarni,19661804.42
SRO/CH/27318,Sec-22/F-39,17/10/2021,330.13,Oeshi Mani,Rajesh,7150971.34
SRO/CH/80148,S22/V-40,03/09/2024,176.21,Veer Narula,Jagtaar,1549529.05
SRO/CH/99700,Sec-22/D-42,17/03/2022,541.75,Xavier Jha,Ashok,10530859.4
SRO/CH/66004,S22/W-43,25/09/2025,251.44,Yuvraj Kapadia,Aman,34533485.25
SRO/CH/96044,Sec-22/A-44,16/08/2023,569.52,Ekanta Goswami,Lakhveer,9583621.03
SRO/CH/62783,22/W-47,23/02/2026,203.44,Abeer Bhattacharyya,Jagdish,2841543.91
SRO/CH/88817,S22/C-48,02/09/2025,326.47,Ekaraj Hans,Amrik,9111389.8
SRO/CH/57134,S22/W-49,06/07/2023,967.46,Lohit Jayaraman,Karan,8541965.03
SRO/CH/15572,S22/N-50,11/05/2025,439.6,Gavin Ghose,Balveer,9223297.0
SRO/CH/96906,22/U-51,23/05/2023,207.64,Warinder Tripathi,Mohan,1771848.91
SRO/CH/81773,22/U-51,02/06/2023,207.64,Mohan,Pooja Sibal,2148625.66
SRO/CH/87895,S22/P-53,21/04/2023,477.06,Nitesh Hora,Raj,10730957.62
SRO/CH/58718,S22/C-55,11/07/2024,598.04,Panini Goda,Jagtar,6390276.58
SRO/CH/78096,22/C-56,05/06/2026,123.89,Chavvi Mangal,Lakhveer,1409996.24
SRO/CH/68845,Sec-22/B-57,08/08/2023,597.4,Saksham Magar,Mandeep,13840240.7
SRO/CH/19714,22/N-58,16/12/2021,313.66,Fariq Parsa,Daljit,6856314.25
SRO/CH/60405,Sec-22/A-62,20/10/2023,145.42,Krishna Ganesh,Raj,9724226.93
SRO/CH/51478,Sec-22/V-63,15/06/2024,151.13,Ridhi Sami,Satinder,2628184.18
SRO/CH/80382,22/F-64,17/02/2025,117.22,Nachiket Subramaniam,Aman,678372.14
SRO/CH/34137,Sec-22/M-65,18/01/2025,4396.62,Lakshmi Sane,Jagdish,465591578.44
SRO/CH/56989,Sec-22/J-66,09/06/2026,8399.18,Charita Yogi,Suresh,97623057.42
SRO/CH/16887,22/R-67,05/02/2026,5247.72,Parth Kurian,Jasvinder,116258384.62
SRO/CH/86682,Sec-22/F-68,06/05/2022,3697.51,Ubika Mohan,Sukhpreet,382590777.65
SRO/CH/59170,22/A-69,05/01/2022,2251.38,Bhanumati Prashad,Surindar,17218424.56
SRO/CH/98380,22/B-70,28/11/2023,1532.03,Ekbal Nath,Ravinder,25245592.88
SRO/CH/52648,S22/D-71,08/06/2026,7075.54,Upasna Hayre,Kamaljeet,98670654.79
SRO/CH/34075,S22/B-72,26/08/2026,7626.12,Ranveer Agrawal,Jaswinder,55943507.44
SRO/CH/58432,S22/J-73,18/07/2024,760.04,Xiti Prasad,Kuldeep,15671998.25
SRO/CH/11020,S22/N-74,27/03/2026,13408.59,Nidhi Sagar,Taranjeet,101255728.26
SRO/CH/98282,S22/D-75,17/04/2022,5409.4,Kashvi Rajagopalan,Narinder,426802408.5
SRO/CH/71241,22/P-76,02/09/2022,11211.46,Darika Bobal,Jaswinder,309578182.41
SRO/CH/67913,S22/C-77,27/05/2024,1238.28,Balvan Dash,Amrik,12999445.19
SRO/CH/46447,Sec-22/L-78,11/07/2025,1185.54,Nicholas Hari,Taranjit,22066210.09
SRO/CH/58239,S22/W-79,11/07/2024,3362.75,Aadhya Pall,Mandeep,33878230.15
SRO/CH/39875,22/V-80,04/11/2025,5111.99,Jyoti Bhardwaj,Jasvinder,54058150.35
SRO/CH/27990,S22/U-81,19/08/2023,15196.47,Panini Koshy,Satinder,387683379.36
SRO/CH/25228,22/S-82,08/03/2023,6140.59,Vanya Banerjee,Karan,307649601.42
SRO/CH/75290,22/P-83,18/11/2023,2984.51,Ayaan Divan,Vikram,77725255.21
SRO/CH/27983,S22/J-84,27/04/2022,1725.99,Tamanna Din,Gurpreet,37141338.87
SRO/CH/71073,22/H-85,06/03/2024,9465.02,Yug Edwin,Davinder,985508321.99
SRO/CH/43813,22/R-86,10/04/2025,1644.19,Jackson Chanda,Rawinder,33866799.85
SRO/CH/32759,22/U-87,11/02/2025,13250.36,Mitali Buch,Vikram,1227691619.72
SRO/CH/63571,22/U-87,12/04/2025,13250.36,Vikram,Pallavi Gandhi,1457086807.87
SRO/CH/95094,S22/E-88,10/06/2023,3045.86,Zayyan Mittal,Preet,34171928.04
SRO/CH/11913,S22/E-88,20/07/2023,3045.86,Preet,Darika Sabharwal,45555494.62
SRO/CH/97031,S22/L-89,17/05/2025,12702.8,Ikbal Padmanabhan,Harjeet,199844943.21
SRO/CH/83333,22/D-90,13/06/2023,6179.77,Amruta Kadakia,Amrik,465678215.58
SRO/CH/27586,S22/Q-91,30/11/2023,3349.83,Darika Ahuja,Manjeet,67786485.26
SRO/CH/13795,Sec-22/M-92,10/12/2025,2424.89,Vyanjana Agarwal,Davinder,87205754.54
SRO/CH/41421,S22/Q-93,23/01/2025,2912.5,Ekaraj Sahni,Suresh,277697538.58
SRO/CH/13501,S22/B-94,21/10/2025,5104.35,Bhavya Sankar,Taranjit,231368052.6
SRO/CH/82514,Sec-22/D-95,27/08/2026,3945.18,Patrick Prasad,Taranjeet,77437652.01
SRO/CH/31126,22/S-96,16/08/2022,2254.39,Krish Hora,Harjeet,187141841.49
SRO/CH/37119,22/G-97,02/07/2022,2153.43,Qabil Thakkar,Jagtar,41113086.01
SRO/CH/16857,22/V-98,03/04/2025,4254.75,Shravya Kala,Jagtaar,46916070.57
SRO/CH/39962,Sec-22/B-99,29/08/2022,2532.96,Sai Bhargava,Ranjeet,44580055.36
SRO/CH/43634,22/K-100,26/10/2024,1789.61,Rehaan Lad,Neelam,27749212.21
SRO/CH/67917,S22/W-101,27/06/2023,1060.35,Ridhi Chopra,Harjeet,36312784.34
SRO/CH/22838,S22/N-102,05/06/2024,681.03,Fariq Memon,Simran,6135275.1
SRO/CH/61334,22/G-103,17/01/2023,3325.94,Krishna Dash,Sukhwinder,201313245.29
SRO/CH/90486,22/S-104,19/05/2024,3701.38,Devansh Oommen,Raj,34829429.12
SRO/CH/85310,22/D-105,10/02/2024,346.49,Wahab Sridhar,Gurpreet,9769660.61
SRO/CH/44031,22/S-106,16/04/2024,6172.77,Harrison Andra,Sukhvinder,71190502.61
SRO/CH/18942,S22/B-107,31/10/2021,2655.99,Amaira Amble,Suresh,40394396.49
