permit_number,plot_number,latitude,longitude,approved_area_sq_m,permit_date,owner,status
BP-623-4252,T-666-6A,8.7056472,77.7385218,9346.5,2024-06-30,Arumugam,approved
BP-623-4538,T-963-7C,8.7235685,77.7385246,6511.13,2026-02-24,Subramani,approved
BP-623-6234,T-440-5B,8.7070014,77.7394417,2094.38,2024-11-14,Marimuthu,approved
BP-623-7075,T-482-5,8.7074072,77.739445,1301.14,2025-10-08,Karthik,approved
BP-623-1465,T-678-4A,8.7076507,77.739446,1108.21,2025-02-24,Rajendran,approved
BP-623-9723,T-602-1D,8.7099522,77.7394216,8544.18,2025-02-11,Karuppasamy,approved
BP-623-7308,T-774-3C,8.7235785,77.7394035,4129.8,2024-10-19,Karuppasamy,approved
BP-623-8732,T-227-1C,8.7316923,77.7393936,6184.42,2024-12-25,Chinnasamy,approved
BP-623-2709,T-757-6D,8.6985742,77.740398,7532.97,2025-02-01,Parvathi,approved
BP-623-5582,T-57-1,8.7039772,77.7403946,3771.09,2025-12-20,Mahesh,approved
BP-623-5241,RS-240-9,8.7170367,77.7403338,4171.39,2025-12-05,Dinesh,approved
BP-623-7278,T-187-3,8.7248946,77.7402795,14662.89,2024-05-18,Muthukumar,approved
BP-623-7497,SF-651-9,8.6980948,77.7423041,1663.24,2026-05-25,Dinesh,approved
BP-623-4312,RS-152-4,8.7074074,77.7421688,4158.75,2026-05-10,Siva,approved
BP-623-8603,SF-471-9,8.708361,77.7421998,23187.19,2026-05-17,Ayyanar,approved
BP-623-7261,T-557-7A,8.7110137,77.742241,10286.42,2025-01-08,Suresh,approved
BP-623-5708,T-784-2,8.7249171,77.7421027,35638.13,2026-04-06,Vadivel,approved
BP-623-9307,T-839-6,8.726484,77.7422786,5800.54,2025-05-23,Dinesh,approved
BP-623-6174,SF-217-8,8.6995946,77.7437619,1241.07,2024-10-09,Selvam,approved
BP-623-9111,RS-690-8,8.7076269,77.7437263,636.18,2025-12-06,Velu,approved
BP-623-8676,SF-299-5D,8.7056255,77.744503,4918.81,2025-12-21,Periyasamy,approved
BP-623-1090,SF-992-6A,8.7073986,77.7443423,554.43,2025-05-12,Bala,unauthorized
