property_id,survey_number,area_sq_m,owner_name,tax_due,last_paid,assessment_year
TAX-623-7924,SF/31/2,6567.96,Vadivellu,1945.04,2026-08-05,2026
TAX-623-7514,T-433/6,18164.17,Thankaraj,1523.88,2026-07-09,2026
TAX-623-1104,SF/748/8B,10948.92,Mahalaxmi,3569.72,2026-02-04,2026
TAX-623-3942,SF/47/4D,2405.01,Sanmugam,251.2,2025-12-06,2026
TAX-623-4054,RS/364/4C,10213.98,Anbalagan,5067.29,2026-04-09,2026
TAX-623-7638,RS/948/9,5715.58,Palani,370.15,2026-08-09,2026
TAX-623-3884,SF/936/6,4573.44,Kalaivaani,9766.7,2026-02-20,2026
TAX-623-2328,RS/765/7B,13409.12,Palani,0.0,2025-11-29,2026
TAX-623-1435,T-164/7B,20031.71,Sarasvati,0.0,2026-02-01,2026
TAX-623-7593,T-907/9D,17092.51,Raaman,0.0,2026-06-21,2026
TAX-623-7348,SF/520/2D,3927.73,Rajendiran,329.67,2025-11-23,2026
TAX-623-6390,T-941/1B,8347.67,Kumaar,3531.33,2025-09-18,2026
TAX-623-5194,T-498/2D,9978.45,Maheash,0.0,2026-04-28,2026
TAX-623-9961,T-666/6A,18720.01,Aarumugam,28478.79,2026-03-31,2026
TAX-623-3908,SF/73/1,5342.63,Sita,1929.62,2025-10-22,2026
TAX-623-8513,T-958/8,7168.88,Karuppaswamy,1562.1,2026-06-27,2026
TAX-623-5595,T-56/2,3493.78,Periyaswamy,1017.69,2025-12-13,2026
TAX-623-1323,RS/474/4D,2804.14,Marimutthu,0.0,2026-04-17,2026
TAX-623-5534,SF/171/7A,17505.42,Sita,0.0,2026-02-10,2026
TAX-623-6533,RS/293/7C,23823.99,Vaalli,0.0,2025-09-14,2026
TAX-623-7618,,7657.36,Dhinesh,2001.95,2026-05-28,2026
TAX-623-8361,T-883/4A,18189.0,Venkata,7502.98,2026-09-03,2026
TAX-623-5065,T-324/5,10955.22,Thankaraj,3545.29,2026-05-26,2026
TAX-623-9938,SF/10/8B,4255.82,Muthukumaar,1051.83,2025-12-02,2026
TAX-623-2237,RS/292/3A,11159.91,Jayaram,3366.09,2025-10-29,2026
TAX-623-2832,T-160/5,27105.99,Raaman,10291.44,2026-04-09,2026
TAX-623-2824,SF/95/7D,7683.8,Karuppaswamy,2940.64,2026-09-18,2026
TAX-623-9963,T-10/2,29860.4,Marimutthu,232670.27,2026-02-16,2026
TAX-623-9451,SF/316/6D,884.54,Subramanee,298.34,2026-04-28,2026
TAX-623-6115,SF/948/4D,16370.97,Jayaram,4455.99,2026-01-16,2026
TAX-623-4111,T-885/4,9034.93,Gopee,1945.1,2026-08-01,2026
TAX-623-6764,RS/313/4,7184.7,Aroon,528.4,2026-07-03,2026
TAX-623-5947,SF/899/5,8671.18,Surase,1786.55,2026-07-06,2026
TAX-623-1509,SF/395/4,1697.52,Baala,362.89,2026-05-20,2026
TAX-623-2818,,6726.24,Aroon,447.59,2026-04-15,2026
TAX-623-5508,T-963/7C,12060.31,Subramanee,28573.18,2026-04-17,2026
TAX-623-9516,T-622/6A,25825.58,Maheash,3384.12,2026-07-07,2026
TAX-623-9004,SF/689/5,5384.14,Kumaar,2369.79,2025-08-18,2026
TAX-623-3810,T-705/1D,5345.87,Vellu,1574.36,2026-07-31,2026
TAX-623-7940,SF/940/2A,5984.47,Aarumugam,40470.65,2026-02-28,2026
TAX-623-6067,T-437/9A,16734.89,Marimutthu,2524.98,2026-09-03,2026
TAX-623-8364,T-497/4,11241.93,Anbalagan,4917.1,2026-06-05,2026
TAX-623-3353,RS/711/3C,4516.98,Manee,802.14,2025-10-28,2026
TAX-623-7665,T-969/1D,12937.46,Vasanta,3276.07,2026-04-25,2026
TAX-623-2974,SF/280/7A,7714.62,Nagrajan,708.92,2026-04-23,2026
TAX-623-1317,T-28/7B,17963.78,Muthukumaar,51452.73,2026-03-20,2026
TAX-623-8190,SF/466/6,4030.85,Shiva,642.43,2026-03-16,2026
TAX-623-7888,SF/666/2D,10697.16,Manee,17700.38,2026-02-06,2026
TAX-623-1867,RS/686/2B,7709.74,Ramaswamy,1758.86,2026-04-26,2026
TAX-623-7371,,1643.98,Paandi,685.92,2025-11-11,2026
TAX-623-3631,T-802/1,6248.57,Elangovan,1430.56,2026-08-22,2026
TAX-623-9903,,2802.09,Naagammal,380.68,2025-11-20,2026
TAX-623-2619,T-794/8A,2723.69,Kalairasan,718.31,2026-08-15,2026
TAX-623-7781,RS/345/1A,6854.8,Manee,1205.49,2026-08-07,2026
TAX-623-8819,SF/248/7A,11924.64,Balasubramaniam,3051.68,2025-11-14,2026
TAX-623-6327,RS/485/9B,12313.96,Sundhar,5321.5,2025-09-05,2026
TAX-623-7712,T-198/6,2505.99,Maheash,136.12,2025-09-28,2026
TAX-623-3412,T-612/5,3944.61,Surase,6598.62,2025-10-27,2026
TAX-623-5948,T-300/3C,6285.33,Kannen,863.86,2026-03-11,2026
TAX-623-2553,RS/964/8,9938.32,Marimutthu,0.0,2026-04-08,2026
TAX-623-8532,SF/255/2B,4221.86,Kamachi,2069.83,2025-12-28,2026
TAX-623-8252,T-440/5B,5050.81,Marimutthu,12781.13,2025-10-06,2026
TAX-623-4550,,1847.58,Karthick,8713.93,2025-12-27,2026
TAX-623-3787,T-678/4A,2091.93,Rajendiran,16084.42,2025-10-31,2026
TAX-623-5581,,8593.28,Shiva,3806.72,2026-03-22,2026
TAX-623-1917,T-602/1D,11143.29,Karuppaswamy,33656.54,2025-11-23,2026
TAX-623-4562,RS/993/2A,4794.02,Kalairasan,1402.67,2026-02-08,2026
TAX-623-3245,RS/259/6,11304.64,Karuppaswamy,12533.33,2026-07-21,2026
TAX-623-4158,SF/274/9,7011.09,Vadivellu,1537.51,2025-10-27,2026
TAX-623-3552,SF/319/9,2941.47,Balasubramaniam,10293.98,2026-04-07,2026
