doc_number,survey_number,registration_date,area_sqft,seller,buyer,sale_value
SRO/TN/31844,SF/31/2,30/04/2024,70696.86,Ojasvi Gill,Vadivellu,657745.44
SRO/TN/24317,T-433/6,18/10/2025,195517.31,Kevin Zacharia,Thangaraj,3696363.8
SRO/TN/72625,SF/748/8B,17/02/2022,117853.08,Yachana Mahajan,Mahalaxmi,1709956.59
SRO/TN/11075,SF/47/4D,12/09/2022,25887.29,Aarini Subramaniam,Shanmugam,336137.02
SRO/TN/85067,RS/364/4C,29/09/2025,109942.26,Hamsini Contractor,Anbazhagan,1624329.8
SRO/TN/63788,RS/948/9,27/07/2024,61521.93,Faqid Dhaliwal,Pazhani,1343460.97
SRO/TN/88325,SF/936/6,19/04/2026,49228.05,Mekhala Pau,Kalaivani,52716601.73
SRO/TN/76971,RS/765/7B,05/09/2023,144334.43,Megha Atwal,Pazhani,0.0
SRO/TN/20913,T-164/7B,31/10/2025,215619.32,Jatin Sha,Sarasvati,0.0
SRO/TN/88365,T-907/9D,29/01/2026,183982.07,Adweta Raj,Raman,0.0
SRO/TN/85683,SF/520/2D,05/06/2022,42277.69,Hritik Kaur,Rajendran,771821.68
SRO/TN/21212,T-941/1B,15/04/2022,70483.31,Aryan Narang,Kumar,696714.2
SRO/TN/54335,T-498/2D,28/02/2026,107407.04,Dev Shetty,Mahesh,0.0
SRO/TN/18924,T-666/6A,01/06/2024,201500.32,Nilima Dada,Arumugam,222182081.29
SRO/TN/82984,SF/73/1,28/05/2025,57507.54,Chakradev Barad,Seetha,629377.61
SRO/TN/69159,T-958/8,04/12/2025,77165.11,Waida D’Alia,Karuppasamy,963330.3
SRO/TN/70294,T-56/2,22/10/2021,37606.7,Wahab Yogi,Periyasamy,450878.11
SRO/TN/83811,RS/474/4D,25/08/2025,30183.48,Lipika Setty,Marimuthu,0.0
SRO/TN/83497,SF/171/7A,26/02/2026,188426.59,Oni Dubey,Seetha,0.0
SRO/TN/21369,RS/293/7C,21/04/2022,256439.05,Hardik Suri,Valli,0.0
SRO/TN/96795,RS/59/1B,27/06/2022,82423.06,Ati Bali,Dinesh,5022531.17
SRO/TN/78792,T-883/4A,16/04/2026,195784.58,Teerth Sawhney,Venkat,1450883.34
SRO/TN/64197,T-324/5,24/06/2023,117920.89,Warinder Patil,Thangaraj,859947.79
SRO/TN/18715,SF/10/8B,10/06/2022,45809.22,Jhalak Parmer,Muthukumar,779077.41
SRO/TN/33545,RS/292/3A,06/05/2025,120124.16,Mitali Majumdar,Jeyaram,918961.82
SRO/TN/65439,T-160/5,02/07/2022,291766.17,Jason Sha,Raman,3485281.32
SRO/TN/80766,SF/95/7D,26/11/2021,82707.65,Simon Bail,Karuppasamy,1359986.17
SRO/TN/66167,T-10/2,22/04/2024,321414.36,Gauri Kohli,Marimuthu,405483126.71
SRO/TN/32321,SF/316/6D,14/12/2025,9521.1,Samesh Biswas,Subramani,74654.96
SRO/TN/69186,SF/948/4D,13/06/2022,176215.48,Tarak Kaul,Jeyaram,1762906.95
SRO/TN/49578,T-885/4,20/05/2024,97251.08,Manbir Agate,Gopi,2205584.11
SRO/TN/39613,RS/313/4,17/02/2024,77335.39,Maanav De,Arun,517335.89
SRO/TN/73901,SF/899/5,12/07/2026,93335.71,Owen Choudhary,Suresh,644774.19
SRO/TN/81259,SF/395/4,09/11/2023,18271.94,Karan Aurora,Bala,299243.05
SRO/TN/33785,RS/680/2C,23/03/2023,72400.57,Wazir Naik,Aroon,1468387.41
SRO/TN/54512,T-963/7C,05/05/2024,129815.97,Owen Lanka,Subramani,249811953.03
SRO/TN/20791,T-622/6A,03/04/2024,277983.96,Jonathan Sama,Mahesh,4664570.76
SRO/TN/59893,SF/689/5,23/02/2026,57954.34,Devansh Soni,Kumar,542891.63
SRO/TN/99667,T-705/1D,06/11/2025,49679.81,Janaki Varghese,Velu,770080.61
SRO/TN/91359,SF/940/2A,14/07/2023,64416.24,Siya Thakur,Arumugam,45009732.85
SRO/TN/86866,T-437/9A,01/09/2022,180132.68,Caleb Verma,Marimuthu,2461647.8
SRO/TN/76484,T-497/4,06/05/2022,121007.01,Tara Balasubramanian,Anbazhagan,1504259.46
SRO/TN/52717,RS/711/3C,05/06/2025,48620.32,Varenya Ratti,Mani,587499.24
SRO/TN/55972,T-969/1D,29/04/2022,139257.53,Hritik Swaminathan,Vasantha,968657.21
SRO/TN/57225,SF/280/7A,08/12/2023,83039.4,Ethan Buch,Nagarajan,2633286.57
SRO/TN/53033,T-28/7B,05/03/2023,193360.33,Manbir Bhatti,Muthukumar,311134034.78
SRO/TN/65838,SF/466/6,26/10/2024,43387.67,Anvi Nair,Siva,900859.76
SRO/TN/59391,SF/666/2D,05/10/2024,115143.16,Chaitaly Setty,Mani,170016069.49
SRO/TN/16568,RS/686/2B,23/12/2025,82986.87,Hardik Contractor,Ramasamy,2639437.57
SRO/TN/25771,RS/111/1,29/09/2025,17695.64,Qushi Seth,Pandi,150653.14
SRO/TN/12919,T-802/1,10/03/2022,67258.98,Odika Nori,Ilangovan,601502.95
SRO/TN/79666,RS/984/6C,06/02/2026,41346.29,Mohini Sagar,Nagammal,552895.09
SRO/TN/93237,T-794/8A,26/02/2022,29317.53,Dhriti Sane,Kalaiarasan,910808.61
SRO/TN/29842,RS/345/1A,05/12/2022,73784.38,Aadhya Prasad,Manee,1309172.92
SRO/TN/32227,SF/248/7A,07/08/2025,128355.63,Urvi Bhavsar,Balasubramanian,983240.54
SRO/TN/54513,RS/485/9B,16/06/2023,132546.23,Frederick Chander,Sundar,1697307.82
